/////////////////////////////////////////////////////////////////////////////////
// This file contains  Deprecation Statistics information
// Project name: go
// Generation date: Monday_08_February_2016
// Generation time: 18:44:12
// Generated by gDEBugger - an OpenGL Debugger and Profiler
// www.gremedy.com
/////////////////////////////////////////////////////////////////////////////////

Function Name, Deprecation Reason, # of Calls, % of Calls, Deprecated at OpenGL Version, Removed at OpenGL Version
glBindTexture, Application Generated Object Names, 1316, 7.35, 3.0, 3.1
glMatrixMode, Completely Deprecated Function, 1316, 7.35, 3.0, 3.1
glDisableClientState, Completely Deprecated Function, 1314, 7.34, 3.0, 3.1
glEnableClientState, Completely Deprecated Function, 1314, 7.34, 3.0, 3.1
glLoadIdentity, Completely Deprecated Function, 659, 3.68, 3.0, 3.1
glMultMatrixf, Completely Deprecated Function, 657, 3.67, 3.0, 3.1
glTexCoordPointer, Completely Deprecated Function, 657, 3.67, 3.0, 3.1
glTexImage2D, Deprecated Pixel Format, 2, 0.01, 3.0, 3.1
glBindBuffer, Application Generated Object Names, 2, 0.01, 3.0, 3.1
glGetString, Unified Extension String, 1, 0.01, 3.0, 3.1
glHint, Hints, 1, 0.01, 3.0, 3.1
glOrtho, Completely Deprecated Function, 1, 0.01, 3.0, 3.1
Total (12 items), 7240, 40.44
